Name,Interests,Department
Per-Olof Persson,applied mathematics~numerical methods~computational fluid and solid mechanics,Department of Mathematics
Philip B. Stark,astrophysics~law~statistics~litigation~causal inference~inverse problems~geophysics~elections~uncertainty quantification~educational technology,Department of Statistics
Rasmus Nielsen,statistical and computational aspects of evolutionary theory and genetics,Department of Integrative Biology~Department of Statistics
Ray R. Larson,Information Retrieval system design and evaluation~database management,School of Information
Rhonda Righter,modeling~optimization~stochastic systems~systems with uncertainty,Department of Industrial Engineering &amp; Operations Research
Richard E. Barlow,industrial engineering and operations~reliability theory~statistical data analysis~Bayesian probability modeling,Department of Industrial Engineering &amp; Operations Research
Richard Karp,computational molecular biology~genomics~DNA molecules~structure of genetic regulatory networks~combinatorial and statsitical methods,Division of Computer Science/EECS
Robert Wilensky,computer science~information management~digital documents~robust linking~using natural language processing to improve information access~digital information infrastructure,Division of Computer Science/EECS
Roger Purves,statistics~foundations of probability~measurability,Department of Statistics
Sanjit Seshia,electronic design automation~theory~computer security~program analysis~dependable computing~computational logic~formal methods,Division of Computer Science/EECS~Division of Electrical Engineering/EECS
Scott Shenker,computer science~internet architecture~software-defined networking~datacenter computational paradigms~game theoretic approaches to resource allocation~large-scale distributed systems.,Division of Computer Science/EECS
Sheldon M. Ross,financial engineering~simulations~stochastics~statistical analysis,Department of Industrial Engineering &amp; Operations Research
Steven Evans,genetics~random matrices~superprocesses &amp; other measure-valued processes~probability on algebraic structures -particularly local fields~applications of stochastic processes to biodemography~mathematical finance~phylogenetics &amp; historical linguistics,Department of Mathematics~Department of Statistics
Stuart Dreyfus,neural networks~dynamic programming~limits of operations research modeling~cognitive ergonomics,Department of Industrial Engineering &amp; Operations Research
Stuart J. Russell,artificial intelligence~computational biology~algorithms~machine learning~real-time decision-making~probabilistic reasoning,Division of Computer Science/EECS
Umesh Vazirani,quantum computation~hamiltonian complexity~analysis of algorithms,Division of Computer Science/EECS
William M. Kahan,mathematics~computers~error analysis~numerical computations~convexity~large matrices~trajectory problems,Division of Computer Science/EECS
Yun S. Song,computational biology~population genomics~applied probability and statistics,Department of Statistics~Division of Computer Science/EECS
Yuval Peres,statistics~probability on graphs~percolation~random walks~Brownian motion~phase transitions~Hausdorff dimension~Markov chains,Department of Statistics
Zachary Pardos,Education Data Science~Learning Analytics~Big Data in Education~data mining~Data Privacy and Ethics~Computational Psychometrics~Digital Learning Environments~Cognitive Modeling~Bayesian Knowledge Tracing~Formative Assessment~Learning Maps~machine learning,Graduate School of Education~School of Information
