Name,Interests,Department
Brian A. Barsky,computer science~geometric design and modeling~computer graphics~computer aided cornea modeling and visualization~medical imaging~virtual environments for surgical simulation,Division of Computer Science/EECS~School of Optometry
Brian Harvey,computers in K-12 education,Division of Computer Science/EECS
Bruno Olshausen,visual perception~computational neuroscience~computational vision,Helen Wills Neuroscience Institute~School of Optometry
Cari Kaufman,climate~functional data analysis~Bayesian statistics~spatial statistics,Department of Statistics
Carl Boettiger,theoretical ecology~stochastic processes~optimal control~decision theory~ecoinformatics~data science~tipping points,"Environmental Science, Policy &amp; Management"
Carlo Sequin,computer graphics~computer-aided design~solid modeling,Division of Computer Science/EECS
Cathryn Carson,history of physics~science and society~history of universities~German history~intellectual history~ethnography~data science~nuclear waste,Department of History
Charles B. Faulhaber,medieval Spanish literature; medieval rhetoric; codicology~paleography; computerization of scholarly methodology,Department of Spanish and Portuguese
Charles Stone,statistical modeling with splines~statistical education,Department of Statistics
Charles V. Shank,physical chemistry~computer science~electrical engineering~physics~ultrafast dynamics of molecular vibrations and chemical reactions~femtosecond optical pulses~dephasing of an optically excited polarization of a molecule in solution~solvents,Department of Chemistry~Department of Physics~Division of Computer Science/EECS~Division of Electrical Engineering/EECS
Ching-Shui Cheng,statistics~statistical design of experiments~combinatorial problems~efficient experimental design,Department of Statistics
Chris Jay Hoofnagle,consumer protection~internet law~privacy~computer crime~criminal procedure~law and technology~public choice theory~federal trade commission~federal communications commission~class action litigation,School of Information
Christopher F. McKee,astrophysics~interstellar medium~formation of stars~astrophysical fluid dynamics~computational astrophysics~astrophysical blast waves~supernova remnants~interstellar shocks,Department of Astronomy~Department of Physics
Christopher Walters,labor economics~applied econometrics~economics of education~structural modeling,Department of Economics
Claire Tomlin,electrical engineering~computer sciences~control~biosystems~control theory~intelligent systems~and robotics~hybrid and embedded systems~biological cell networks,Division of Electrical Engineering/EECS
Clark Nguyen,electrical engineering~computer sciences~integrated circuits~sensors~micro electromechanical systems~signal processors~frequency control~RF communications~micromachining technology,Division of Electrical Engineering/EECS
Daniel Klein,unsupervised language acquisition~efficient algorithms for NLP~linguistically rich models of language~integrating symbolic and statistical methods for NLP~organization of the web~machine translation~information extraction,Division of Computer Science/EECS
Daniel Rokhsar,biology~collective phenomena and ordering in condensed matter and biological systems~theoretical modeling~computational modeling~behavior of quantum fluids~cold atomic gases~high temperature superconductors~Fermi and Bose systems,Department of Molecular &amp; Cell Biology
Daryl C. Chrzan,materials science and engineering~computational materials science~metals and metallic compounds~defects in solids~growth of nanostructures,Department of Materials Science and Engineering
David A. Patterson,clusters~parallel computing~storage systems~computer architecture and engineering~computer architecture and systems,Division of Computer Science/EECS
David B. Bogy,fluid mechanics~mechanics in computer technology~tribology in hard-disk drives~laser measurement systems~numerical simulations~static and dynamic problems in solid mechanics,Department of Mechanical Engineering
David Chandler,physical chemistry~chemistry~statistical mechanics~theoretical~condensed matter~molecular structure and dynamics~quantum theory of many body systems,Department of Chemistry
David Dornfeld,precision manufacturing processes~green and sustainable manufacturing~intelligent sensors and signal processing~mechanical engineering design~flexible/lean manufacturing systems~process modeling,Department of Mechanical Engineering
David Eisenbud,mathematics~algebraic geometry~commutative algebra~computation,Department of Mathematics
David Messerschmitt,business~economics~technology~electrical engineering~computer sciences,Division of Electrical Engineering/EECS
David Ross Brillinger,risk analysis~statistical methods~data analysis~animal and fish motion trajectories~statistical applications in engineering and science~sports statistics,Department of Statistics
David Wagner,computer security~secure electronic voting~web security~mobile security~cellphone security,Division of Electrical Engineering/EECS
David Wessel,music~musical applications of computer~technologies; music perception and cognition; composition~improvisation; interactive live performance,Department of Economics
Dawn Song,privacy~computer security,Division of Computer Science/EECS
Deborah Nolan,statistics~empirical process~high-dimensional modeling~technology in education,Department of Statistics
Didier de Fontaine,phase transformations in alloys~crystallography~thermodynamics of phase changes~particularly ordering reactions~phase separation~calculations of phase equilibria by combined quantum~statistical mechanical methods,Department of Chemical Engineering
Dorit Hochbaum,data mining~integer programming~discrete optimization~network flow techniques~clustering~image segmentation~machine vision~pattern recognition,Department of Industrial Engineering &amp; Operations Research
Doug Tygar,privacy~technology policy~computer security~electronic commerce~software engineering~reliable systems~embedded systems~computer networks~cryptography~cryptology~authentication~ad hoc networks,Division of Electrical Engineering/EECS~School of Information
Douglas Dreger,wave propagation~geophysics~earth and planetary sciences~waveform data~geophysical inverse problems~seismic radiation~regional distance methodology~crustal structure affects on ground motions in the greater San Francisco Bay area,Department of Earth and Planetary Science
Duncan Callaway,modeling and control of aggregated storage devices~power management~and system analysis of energy technologies and their impact,Energy &amp; Resources Group
Edmund Campion,music~composition~musical application of computer technologies,Department of Music
Edward A. Lee,Cyber-Physical Systems~embedded software~modeling and design of systems~real-time and concurrent system~theory of concurrent systemss,Division of Electrical Engineering/EECS
Edward L. Wilson,computational mechanics~civil and environmental engineering~systems~numerical methods~analysis and design~large structural~field testing of structures,Department of Civil and Environmental Engineering
Elchanan Mossel,applied probability~statistics~mathematics~finite markov chains~markov random fields~phlylogeny,Department of Statistics
Eli Yablonovitch,optoelectronics~physical electronics~high speed optical communications~nanocavity lasers~photonic crystals at optical and microwave frequencies~quantum computing and communication,Division of Electrical Engineering/EECS
Elizabeth Purdom,computational biology~bioinformatics~statistics~data analysis~sequencing~cancer genomics,Department of Statistics
Elwyn R. Berlekamp,computer science~electrical engineering~mathematics~combinatorial game theory~algebraic coding theory,Department of Mathematics
Eoin Brodie,microbiology~biogeochemistry~environmental science~carbon cycle~soil science~rhizosphere~decomposition~redox~human microbiome~insect microbiome~molecular biology~bioinformatics~modeling,"Department of Environmental Science, Policy &amp; Management"
Ernest S. Kuh,computer-aided design for VLSI,Division of Electrical Engineering/EECS
Eugene A. Hammel,kinship~social anthropology~stratification~statistical and formal analysis~computer applications~peasant society and culture~demography~Balkans,Department of Anthropology~Department of Demography
Eugene Wong,robotics~database management systems; communications; control~&amp; biosystems; signal/image/video processing,Division of Computer Science/EECS
Evan R. Williams,spectroscopy~molecular structure and dynamics~analytical chemistry~biophysical chemistry~structure and reactivity of biomolecules and biomolecule/water interactions~mass spectrometry~separations~protein conformation~protein and DNA sequencing,Department of Chemistry
Fei Xu,conceptual development~developmental psychology~cognitive development~language development~social cognition in infants and children~learning in infants and young children~statistical learning and statistical inference~psychology and philosophy~computational models of cognitive development,Department of Psychology
Filip C. Filippou,nonlinear analysis of structures~finite element analysis~seismic response simulation~seismic evaluation of structures by computer analysis,Department of Civil and Environmental Engineering
Fotini Chow,environmental fluid mechanics~large-eddy simulation~turbulence modeling~atmospheric boundary layer flow~flow over complex terrain~urban dispersion modeling~coupled land-atmosphere modeling~wind energy applications,Department of Civil and Environmental Engineering
Francisco Armero,computational mechanics~nonlinear continuum mechanics,Department of Civil and Environmental Engineering
Frederic Theunissen,behavior~cognition~brain~psychology~birdsong~vocal learning~audition~neurophysiology~speech perception~computational neuroscience~theoretical neuroscience,Department of Psychology
George Oster,computational biology~developmental biology~mathematical modeling of molecular and cellular systems~protein motors~cell motility~spatial pattern formation in eukaryotic and prokaryotic cells~neural pattern formation,"Department of Molecular &amp; Cell Biology~Environmental Science, Policy &amp; Management"
Graham H. Powell,bridges~earthquake engineering~computing~buidings,Department of Civil and Environmental Engineering
Gregory S. Biging,forest biometrics~modeling and remote sensing,"Environmental Science, Policy &amp; Management"
Haiyan Huang,applied statistics~functional genomics~translational bioinformatics~high dimensional and integrative genomic/genetic data analysis~network modeling~hierarchical multi-lable classification,Department of Statistics
Hans Sluga,political philosophy~recent European philosophy~history of analytic philosophy~Frege~Wittgenstein~Foucault,Department of Philosophy~Department of Rhetoric
Hartmut Haeffner,quantum information and computation~precision measurements~ion traps~quantum state engineering~decoherence~quantum simulations~quantum energy transport~quantum chaos~cryogenic electronics,Department of Physics
Hayden Taylor,manufacturing~microfabrication~nanofabrication~semiconductor manufacturing~computational mechanics~nanoimprint lithography,Department of Mechanical Engineering
Hayne Leland,structural modeling of credit risk~optimal leverage and agency costs~investment strategies~performance measurement: beyond mean-variance analysis,Haas School of Business
Henry Brady,comparative politics~public policy~electoral politics~political participation~survey research~program evaluation~statistical methods in the social sciences~social welfare policy~Soviet Union~inequality in America,Goldman School of Public Policy
Ian Holmes,computational biology,Department of Bioengineering
Igor Grigoriev,genomics~fungi~algae~eukaryotes~computational biology~bioinformatics~genome annotation,Department of Plant and Microbial Biology
Ion Stoica,networking and distributed computer systems~quality of service (Q of S) and resources management~modeling and performance analysis,Division of Computer Science/EECS
Ira Tager,aging~public health~epidemiology~biostatistics~maternal &amp; child health~environmental health sciences,School of Public Health
Iris D. Tommelein,lean construction~lean production~design management~sustainability~supply-chain management~life-cycle engineering~civil infrastructure systems~adaptive project leadership~megaproject delivery~construction process engineering~integrated project delivery IPD~building information modeling BIM~virtual design and construction VDC.,Department of Civil and Environmental Engineering
"J.W. Morris, Jr",structural materials~computational materials~the limits of strength~deformation mechanisms~non-destructive testing with SQUID microscopy~mechanisms of grain refinement in high strength steels~lead-free solders for microelectronics,"Department of Environmental Science, Policy &amp; Management"
Jack L. Gallant,vision science~form vision~attention~fMRI~computational neuroscience~natural scene perception~brain encoding~brain decoding,Department of Psychology
James A. Sethian,mathematics~applied mathematics~partial differential equations~computational physics~level set Methods~computational fluid mechanics and materials sciences. fast marching methods,College of Letters and Science
James Demmel,computer science~scientific computing~numerical analysis~linear algebra,Division of Computer Science/EECS
James O&#039;Brien,computer graphics~fluid dynamics~computer simulation~physically based animation~finite element simulation~human perception~image forensics~video forensics~computer animation~special effects for film~video game technology~motion capture.,Division of Computer Science/EECS
James Pitman,fragmentation~statistics~mathematics~Brownian motion~distribution theory~path transformations~stochastic processes~local time~excursions~random trees~random partitions~processes of coalescence,Department of Statistics
Jasmina L. Vujic,nuclear engineering~numerical methods in reactor physics~neutron and photon transport~reactor core design and analysis~shielding~radiation protection~biomedical application of radiation~optimization techniques for vector~parallel computers,Department of Nuclear Engineering
Jason Wittenberg,ethnic politics~statistical methods~Eastern Europe~religion and politics~voting behavior,Department of Political Science
Jean M. J. FrÌÄå©chet,materials chemistry~catalysis~drug delivery~analytical chemistry~organic synthesis~polymer science~macromolecules~chiral recognition~control of molecular architecture at the nanometer scale~reactive surfaces,Department of Chemistry
Jeffrey T. LaFrance,economics~consumer choice~environmental policy~econometrics and statistics~agricultural policy~nutrition and health~natural resource use,Department of Agricultural &amp; Resource Economics
Jerome A. Feldman,computer science~artificial intelligence; cognitive science; neural theory of language;,Division of Computer Science/EECS
Jitendra Malik,computer science~electrical engineering~optometry~vision science,Division of Computer Science/EECS
Joan Bruna Estrach,machine learning,Department of Statistics
John Chuang,computer networking~computer security~economic incentives~ICTD,Division of Electrical Engineering/EECS~School of Information
John Colford,public health~epidemiology~infectious diseases~biostatistics~meta-analysis,School of Public Health
John D. Kubiatowicz,computer architecture &amp; engineering~multiprocessor design~quantum computing design~and general architecture; operating systems~internet-scale storage systems and peer-to-peer networking,Division of Computer Science/EECS
John D. Radke,city and regional planning~landscape architecture and environmental planning~geographic information systems~database design and construction~spatial analysis~pattern recognition computational morphology,Department of City &amp; Regional Planning~Landscape Architecture &amp; Environmental Planning
John F. Canny,computer science~activity-based computing~livenotes~mechatronic devices~flexonics,Division of Computer Science/EECS
John Huelsenbeck,computational biology~evolutionary biology~phylogenetics,Department of Integrative Biology
John M. Prausnitz,biotechnology~chemical engineering~molecular thermodynamics~phase equilibria~Monte-Carlo molecular simulations~statistical mechanics of fluids and solids~transport of water/oxygen/salt in contact lenses,Department of Chemical Engineering
John Rice,transportation~astronomy~statistics~functional data analysis~time series analysis,Department of Statistics
John Wawrzynek,parallel architectures~reconfigurable computing~integrated-circuit &amp; system design,Division of Electrical Engineering/EECS
Jon McAuliffe,bioinformatics~machine learning~nonparametrics~convex optimization~statistical computing~prediction~supervised learning,Department of Statistics
Jon Wilkening,applied mathematics~numerical analysis~computational solid and fluid mechanics,Department of Mathematics
Jonathan D. Bray,earthquake engineering~geotechnical engineering~physical and numerical modeling~environmental geotechnics,Department of Civil and Environmental Engineering
Jonathan Shewchuk,scientific computing~numerical methods~computational geometry (especially mesh generation~numerical robustness~and surface reconstruction)~physically-based animation,Division of Electrical Engineering/EECS
Jose M. Carmena,brain-machine interfaces~neural ensemble computation~neuroprosthetics~sensorimotor learning and control,Division of Electrical Engineering/EECS~Helen Wills Neuroscience Institute
Joseph L. Napoli,metabolism~nutritional biochemistry~fat-soluble vitamins~retinoids~retinoic acid~retinol~vitamin A~vitamin D~analytical biochemistry,College of Natural Resources~Department of Nutritional Sciences &amp; Toxicology
Joseph M. Hellerstein,computer science~networks~database systems~distributed systems,Division of Computer Science/EECS
Joshua Bloom,machine learning~gamma-ray bursts~supernovae~time-domain astronomy~data-driven discovery,Department of Astronomy
Juan M. Pestana,geotechnical engineering~environmental geotechnics~constitutive modeling of soil behavior~soil properties~numerical modeling of soil-structure interaction~geotechnical earthquake engineering,Department of Civil and Environmental Engineering
Justin McCrary,statistics~law and economics~labor economics~business law,Boalt Hall School of Law
Jyh-Yuan Chen,computational modeling of reactive systems~turbulent flows~combustion chemical kinetics,Department of Mechanical Engineering
K. Birgitta Whaley,chemistry~physical and theoretical chemistry~cluster and nano science~quantum information and computations~quantum mechanics of clusters and advanced materials~elucidating and manipulating chemical dynamics in strongly quantum environments,Department of Chemistry
Kam-Biu Luk,physics~particle physics~neutrinos coming from the nuclear processes in the sun~neutrino oscillation~anti-neutrinos~neutrino mixing parameters~nuclear instrumentation~data mining,Department of Physics
Kameshwar Poolla,cybersecurity~modeling~control~renewable energy~estimation~integrated circuit design and manufacturing~smart grids,Department of Mechanical Engineering~Division of Electrical Engineering/EECS
Katherine A. Yelick,parallel computing~memory hierarchy optimizations~programming languages and compilers,Division of Computer Science/EECS
Kathleen E. Metz,development~education~cognition~young childrenÌ¢‰âÂ‰ã¢s scientific reasoning~childrenÌ¢‰âÂ‰ã¢s intuitions about rudimentary statistical constructs~data-based inquiry~limitations of young childrenÌ¢‰âÂ‰ã¢s scientific inquiry,Graduate School of Education
Kazuo Yamazaki,etc.~micro custom diamond tool design and fabrication system~CNC machine tool control software and hardware system~ultrasonic milling~intelligent manufacturing systems~mechatronics control hardware and software for manufacturing processes and equipment~computer aided manufacturing system for five axis~milling - turning integrated machining process~nano/micro mechanical machining processes and equipment~precision metrology for nano/micro mechanical machining~Non-traditional manufacturing processes such as electric discharge machining~laser machining and electron beam finishing,Department of Mechanical Engineering
Kenneth E. Train,economics~regulation~econometrics~energy~choice modeling,Department of Economics
Kenneth Wachter,mathematical demography stochastic models~simulation~biodemography~federal statistical system,Department of Demography~Department of Statistics
Kimmen Sjolander,computational biology~algorithms~phylogenetic tree reconstruction~protein structure prediction~multiple sequence alignment~evolution~bioinformatics~hidden Markov models~metagenomics~statistical modeling~phylogenomics~emerging and neglected diseases~machine-learning~genome annotation~metagenome annotation~systems biology~functional site prediction~ortholog identification,Department of Bioengineering
Kjell Doksum,statistics~curve estimation~nonparametric regression~correlation curves~survival analysis~semiparametric~nonparametric settings~regression quantiles~analysis of financial data,Department of Statistics
Koushik Sen,computer science~programming systems~software engineering~programming languages~computational logic~software testing~verification~model checking~runtime monitoring~performance evaluation,Division of Computer Science/EECS
Kristen Whissel,Cinema and technological change~computer-generated images and contemporary cinema~digital visual effects~the history and theory of special effects~cinema in transition~American film history~silent American cinema~modernity and early cinema.,Department of Rhetoric
Krste Asanovic,computer architecture~VLSI design~parallel programming,Division of Computer Science/EECS
Kurt Keutzer,electronic design automation~parallel computing,Division of Electrical Engineering/EECS
Kyle Steinfeld,digital design~design computation~data visualization~architectural representation~design methods,Department of Architecture
Kyriakos Komvopoulos,contact mechanics~fracture and fatigue of engineering materials~finite element modeling of surface contact and machining~thin-film processing and characterization~adhesion and fatigue of MEMS devices~plasma-assisted surface functionalization of biomaterials~surface patterning for cell adhesion and growth control~mechanics &amp; tribology of magnetic recording devices~mechanotransduction effects in natural cartilage~microfibrous scaffolds for tissue engineering~surface nanoengineering techniques~tribology and mechanics of artificial joints,Department of Mechanical Engineering
Lane Johnson,earth &amp; planetary science~geophysical methods of studying structure &amp; processes within the earth~seismic sources~monitoring of nuclear test ban treaties~theoretical &amp; computational methods of treating wave propagation in realistic earth models,Department of Earth and Planetary Science
Laura Waller,computational optical imaging~digital holography~light field cameras~metrology and inspection~phase retrieval~inverse problems in imaging~phase-space optics~optical coherence theory~nonlinear optics~3D imaging and display,Division of Electrical Engineering/EECS
Laurel Larsen,hydroecology~geomorphology~complex systems~restoration ecology~environmental modeling~wetlands~sediment transport~environmental fluid mechanics,Department of Geography
Lee Fleming,invention~innovation~patents~big data~leadership,College of Engineering
Lee W. Schruben,health care systems~simulation~optimization of simulation system response~foundations of simulation modeling~supply chains~experimental designs~biopharmaceuticals~Production,Department of Industrial Engineering &amp; Operations Research
Leo A. Goodman,sociology~statistics~log-linear models~correspondence analysis models~mathematical demography~categorical data analysis~survey data analysis~logit models~log-bilinear models~association models,Department of Sociology~Department of Statistics
Lior Pachter,mathematics~applications of statistics~combinatorics to problems in biology,Department of Mathematics~Department of Molecular &amp; Cell Biology~Division of Computer Science/EECS
Lisa Barcellos,public health~genetic epidemiology~human genetics~autoimmune diseases~Multiple Sclerosis~systemic lupus erythematosus~rheumatoid arthritis~epigenetics~genomics~computational biology,School of Public Health
Lotfi A. Zadeh,artificial intelligence~linguistics~control theory~logic~fuzzy sets~decision analysis~expert systems neural networks~soft computing~computing with words~computational theory of perceptions and precisiated natural language,Division of Computer Science/EECS
Luciano G. Moretto,chemistry~nuclear science~statistical and dynamical properties of nuclei~nuclear reactions~multifragmentation~thermal scaling~monovariant and bivariant regions,Department of Chemistry
Lynn Ingram,geophysics~geology~earth and planetary science~geography~stratigraphy with strontium isotopes~paleontological~paleoclimate~California climate change~paleosalinity~shellmounds~geochemical data~paleoclimatic and paleo-environmental reconstruction in aquatic environments using sedimentological,Department of Earth and Planetary Science~Department of Geography
Maneesh Agrawala,computer science~computer graphics~visualization~human computer interaction,Division of Computer Science/EECS
Marcin Majda,electrochemistry~analytical chemistry~electrode &amp; solution interfaces~electron tunneling~bioanalytical chemistry,Department of Chemistry
Mark S. T. Anderson,architecture~building design~BIM~integrated project delivery~building construction~school design~housing design~net zero energy desig~nurban design~building integrated modeling~IPD~design-build~prefabricated~modular~architecture in China~architecture in Japan~urban water,Department of Architecture
Mark van der Laan,statistics~computational biology and genomics~censored data and survival analysis~medical research~inference in longitudinal studies,School of Public Health
Markus Pauly,cell walls~extracellular matrix~plants~polysaccharides~carbohydrates~lignin~nucleotide sugars~analytical carbohydrate chemistry~plant genomics~enzyme biochemistry,Department of Plant and Microbial Biology
Marti Hearst,information retrieval~human-computer interaction~user interfaces~information visualization~web search~search user interfaces~empirical computational linguistics~natural language processing~text mining~social media,School of Information
Martin H. Graham,computer systems~local area networks~instrumentation~biomedical signal processing~grounding~noise~crosstalk problems,Division of Electrical Engineering/EECS
Martin J. Wainwright,statistical machine learning~High-dimensional statistics~information theory~Optimization and algorithmss.,Division of Computer Science/EECS
Mary Comerio,disaster recovery~housing impacts in disasters~loss modeling~performance based design,Department of Architecture
Max Moritz,climate change~landscape ecology~fire ecology and management~ecosystem resilience~spatial modeling,"Department of Environmental Science, Policy &amp; Management"
Michael A. Harrison,computer science~programming systems~multimedia authoring systems~and software environments,Division of Computer Science/EECS
Michael Buckland,information management~information retrieval~metadata~library services,School of Information
Michael Cooper,analysis~design~database management systems~implementation and evaluation of information systems~computer performance monitoring and evaluation~and library automation,School of Information
Michael DeWeese,machine learning~computation~systems neuroscience~auditory cortex~neural coding,Department of Physics~Helen Wills Neuroscience Institute
Michael Franklin,large-scale distributed database systems~information filtering; mobile and pervasive computing; data streams~dissemination~and broadcast; DBMS architecture and performance evaluation,Division of Computer Science/EECS
Michael Frenklach,silicon carbide~chemical kinetics; computer modeling; combustion chemistry; pollutant formation (NOx~soot); shock tube; chemical vapor deposition of diamond films; homogeneous nucleation of silicon~diamond powders; interstellar dust formation,Department of Mechanical Engineering
Michael Jordan,computer science~artificial intelligence~bioinformatics~statistics~machine learning~electrical engineering~applied statistics~optimization,Department of Statistics~Division of Computer Science/EECS
Michael Klass,statistics~mathematics~probability theory~combinatorics independent random variables~iterated logarithm~tail probabilities~functions of sums,Department of Statistics
Michael Ranney,Problem solving~knowledge representation &amp; reorganization~explanatory coherence &amp; inference~conceptual change~societal implications~science instruction~global climate change psychology~numeracy in journalism~naÌÄåøve/informal physics~computational models of cognition~perceptual-cognitive interactions~intelligent tutoring systems~understandings of biological evolution~Reasoning~qualitative &amp; quantitative thinking,Department of Psychology~Graduate School of Education
Michael Tarter,curve estimation~biostatistics~forecasting~data mining~antismoothing~biometrics~sampling,School of Public Health
Ming Gu,mathematics~scientific computing~numerical linear algebra~adaptive filtering~system and control theory~differential and integral equations,Department of Mathematics
Murat Arcak,control~energy~intelligent systems and robotics~biosystems and computational biology,Division of Electrical Engineering/EECS
Nancy J. Chodorow,sociology~psychoanalytic theory/psychoanalytic sociology/clinical methods~feminist theory and methodology~psychoanalysis and feminism,Department of Sociology
Nicholas Jewell,AIDS~statistics~epidemiology~infectious diseases~Ebola Virus Disease~SARS~H1N1 influenza~adverse cardiovascular effects of pharmaceuticals~counting civilian casualties during conflicts,Department of Statistics~School of Public Health
Nir Yosef,computational biology,College of Engineering
Norman Miller,hydroclimate modeling and assimilation and analysis~climate change impacts to sociology-economic and ecological sectors,Department of Geography
Noureddine El Karoui,applied statistics~theory and applications of random matrices~large dimensional covariance estimation and properties of covariance matrices~connections with mathematical finance,Department of Statistics
Olga Holtz,numerical analysis~matrix and operator theory~approximation theory~wavelets and splines~orthogonal polynomials and special functions~analysis of algorithms and computational complexity,Department of Mathematics
Panayiotis Papadopoulos,continuum mechanics~computational mechanics~contact mechanics~computational plasticity~materials modeling~solid mechanics~applied mathematics~dynamics of pseudo-rigid bodies,Department of Mechanical Engineering
Patrick Pagni,fire safety engineering~fire physics~fire modeling~post earthquake fires,Department of Mechanical Engineering
Paul Adams,biofuels~computational methods~Macromolecular Crystallography~Structural Biology~abra,Department of Bioengineering
Paul Grabowicz,journalism~multimedia and convergence~new media~online publishing~digital technology~interactivity~computer assisted reporting~entrepreneurism~video games~local online news sites,School of Journalism
Paul N. Hilfinger,computer science~programming systems~software engineering,Division of Computer Science/EECS
Paul R. Gray,electrical engineering~communications~integrated circuits~computer-aided design for VLSI~wireless systems,Division of Electrical Engineering/EECS
Paul Schwartz,privacy~information privacy law~data protection law,Boalt Hall School of Law
Peng Ding,Statistical causal inference~missing data~Bayesian statistics~applied statistics,Department of Statistics
Peng Gong,remote sensing~environmental science~sensors~ecological measurement~digital image analysis~spectral analysis~ecosystem modeling~forests,"Environmental Science, Policy &amp; Management"
Per-Olof Persson,applied mathematics~numerical methods~computational fluid and solid mechanics,Department of Mathematics
Perry de Valpine,population ecology~mathematical modeling and statistics,College of Natural Resources
Peter Bickel,statistics~machine learning~semiparametric models~asymptotic theory~hidden Markov models~applications to molecular biology,Department of Statistics
Peter L. Bartlett,statistics~machine learning~statistical learning theory~adaptive control,Department of Statistics~Division of Computer Science/EECS
Peter Nugent,supernovae~wide-field optical surveys~time-domain astrophysics~radiation transport~cosmology~computational astrophysics,Department of Astronomy
Philip B. Stark,astrophysics~law~statistics~litigation~causal inference~inverse problems~geophysics~elections~uncertainty quantification~educational technology,Department of Statistics
Phillip Geissler,statistical mechanics~theoretical chemistry~microscopic behavior of complex biological and material systems~biomolecular structure and dynamics~nonlinear vibrational spectroscopy,Department of Chemistry
Pieter Abbeel,robotics~machine learning,Division of Computer Science/EECS
Pressley Millar,statistics~Martingales~Markov processes~Gaussian processes~excursion theory~asymptotic statistical decision theory~nonparametrics~robustness~stochastic procedures~asymptotic minimas theory~bootstrap theory,Department of Statistics
R. Gary Black,architecture~finite element modeling~finite element analysis~structure and space~experimental testing~timber connections~teaching structures~integrating structure and architecture,Department of Architecture
Rachel Slaybaugh,computational methods~high performance computing~neutron transport,Department of Nuclear Engineering
Rainer Sachs,computational biology~carcinogenesis~mathematical biology~ionizing radiation~chromosome aberrations~radiation risk~cancer radiation therapy,Department of Physics
Randy Katz,trusted and reliable network computing,Division of Computer Science/EECS
Ras Bodik,programming languages~web browsers~mobile computing~compilers and virtual machines~JavaScript~low-power computing.,College of Engineering
