Name,Interests,Department
Albert P. Pisano,microfabrication~microsensors~strain sensors~drug delivery~microsystems~MEMS~biosensors~additive manufacturing~Harsh Environment Wireless Microsensors~nanoimprinting~nanoprinting~MEMS RF components~micro power generation~micro inertial instruments~disk-drive actuators and nanowire sensors,Department of Mechanical Engineering
Albert Russell Ascoli,Italy~national identity~literature and history~Dante~authorship and authority~Ariosto~Machiavelli~Petrarch~Boccaccio~epic and romance~Renaissance~early modern~Middle Ages,Department of Italian Studies
Alberto Sangiovanni-Vincentelli,Cyber-Physical Systems~System design~Electronic Design Systems~embedded system design~biological systems~wireless sensor network design~control~integrated circuits~robotics~theory,Division of Electrical Engineering/EECS
Alessandra Lanzara,nanostructures~physics~solid-state physics~complex novel materials~correlated electron systems~temperature superconductors~colossal magneto-resistance manganites~organic material~fullerenes~nanotubes~nanosphere~nanorods,Department of Physics
Alex Becker,civil and environmental engineering~geoengineering~airborne electromagnetic sensing systems~detection and classification of buried metallic objects~high frequency impedance measurements for non-invasive permittivity determination,Department of Civil and Environmental Engineering
Alex Saragoza,ideology~modern Mexico~Latin American history~structural origins of Mexican migration~cultural formations in Mexico~Mexican cinema~radio~television,Department of Ethnic Studies
Alex Skabardonis,transportation~traffic engineering~traffic control systems~traffic management~the environment,Department of Civil and Environmental Engineering
Alex Zettl,physics~condensed matter physics~fullerenes~condensed matter experiments~characterize novel materials with unusual electronic and magnetic ground states~low-dimensional and nanoscale structures~superconductors~giant magnetoresistance materials~nanotubes~graphene~boron nitride nanostructures~neural probes~NEMS.,Department of Physics
Alexander Cook,East Asia: China,Department of History
Alexander Glazer,photosynthetic systems~phycobiliproteins~design of fluorescent probes~protein structure-function relationships~macromolecular complexes~environmental sciences~natural resource management,Department of Molecular &amp; Cell Biology
Alexander J. Horne,water pollution~behavior of pollutants in an aqueous environment,Department of Civil and Environmental Engineering
Alexander Katz,chemical engineering~nanoengineering~catalytic imprinted silicas~catalysts in biological systems~catalysis~chemical sensing,Department of Chemical Engineering
Alexander Pines,Theory and experiment in magnetic resonance spectroscopy and imaging~quantum coherence and decoherence~novel concepts and methods including molecular and biomolecular sensors and microfluidics~laser hyperpolarization and detection~laser and zero-field NMR~in areas from material science to biomedicine.,Department of Chemistry
Alexander von Rospatt,ritual studies~Nepalese studies~Buddhist traditions of South Asia~doctrinal history~Newar Buddhism,Department of South and Southeast Asian Studies
Alexandra Saum-Pascual,Spain~electronic literature~contemporary literature~digital humanities~new media,Department of Spanish and Portuguese
Alexandre Givental,mathematics~mathematical physics~symplectic geometry~singularities~mirror symmetry,Department of Mathematics
Alexandre J. Chorin,applied mathematics~numerical methods~hydrodynamics~sampling and Monte Carlo methods.,Department of Mathematics
Alexandre M. Bayen,transportation~modelling and control of distributed parameters systems~large scale infrastructure systems~water distribution,Department of Civil and Environmental Engineering
Alexei Efros,computer vision~computer graphics~computational photography,Division of Computer Science/EECS
Alexei Yurchak,language~Discourse~power~social theory~late socialism~theories of ideology~subjectivity~popular culture~ideology~Soviet and post-Soviet culture and society~post-socialism~telecommunications~linguistics~speech synthesis,Department of Anthropology
Alexey Pozdnukhov,machine learning~spatial data mining~smart cities,College of Engineering
Alexis T. Bell,chemical engineering~heterogeneous catalysts~spectroscopic techniques,Department of Chemical Engineering
Alfred E. Glassgold,Theoretical astrophysics and underlying physical processes~interstellar and circumstellar matter~star and planet fromation~protoplanetary disks,Department of Astronomy
Ali Javey,nanotechnology~low power electronics~flexible electronics and sensors~nanofabrication~energy harvesting and conversion~programmable matter,Division of Electrical Engineering/EECS
Ali M. Niknejad,analog integrated circuits~RF microwave circuits~device modeling~communication systems~scientific computing~applied electromagnetics~mm-waves~THz~radar~mm-wave and microwave imaging,Division of Electrical Engineering/EECS
Ali Mesbah,process systems engineering~control theory~energy systems~biological systems,Department of Chemical Engineering
Alice M. Agogino,New product development~computer-aided design &amp; databases~theory &amp; methods~intelligent learning systems~information retrieval &amp; data mining~digital libraries~multiobjective &amp; strategic product~nonlinear optimization~probabilistic modeling~supervisory,Department of Mechanical Engineering~Haas School of Business
Alison Gopnik,learning~philosophy~psychology~cognitive development~theory of mind~young children~children&#039;s causal knowledge~Bayes Net formalism,Department of Psychology
Alison Post,regulation~infrastructure~water and sanitation,Department of Political Science
Alistair Sinclair,algorithms~applied probability~statistics~random walks~Markov chains~computational applications of randomness~Markov chain Monte Carlo~statistical physics~combinatorial optimization,Department of Statistics~Division of Electrical Engineering/EECS
Allan J. Lichtenberg,nonlinear dynamics~chaos theory~plasma discharges for materials processing,Division of Electrical Engineering/EECS
Allan Kaufman,physics~fundamental aspects of plasma physics~application to plasma heating in tokamaks~interaction between positive and negative energy waves in nonuniform plasma~conversion of magnetosonic waves to ion-hybrid waves in tokamak geometries~heating,Department of Physics
Allan Sly,probability theory~stochastic processes~networks,Department of Statistics
Allan Smith,public health~epidemiology~biostatistics~environmental health sciences,School of Public Health
Allen Goldstein,global change~air pollution~environmental science~biogeochemistry~atmospheric chemistry,"Department of Environmental Science, Policy &amp; Management"
Allison Harvey,sleep~insomnia~comorbidity~bipolar disorder~cognition and emotion,Department of Psychology
Alper Atamturk,logistics~integer programming~computational optimization~robust optimization,Department of Industrial Engineering &amp; Operations Research
Alva Noe,cognitive science~phenomenology~consciousness~philosophy~theory of perception~theory of art~Wittgenstein~analytic philosophy origins,Department of Philosophy
Amani Nuru-Jeter,health disparities~race/ethnicity~socioeconomic position~stress and health~place and health~cardiovascular risk~birth outcomes,School of Public Health
Amy Herr,microfluidics~bioanalytical separations~diagnostics~electrokinetic transport~engineering design,Department of Bioengineering
Amy Lerman,American government~public opinion~criminal justice~prisons and policing,Goldman School of Public Policy
Amy Rose Deal,meaning~grammar~endangered languages~Native American languages~semantics~syntax~word structure~language universals~language variation~Nez Perce language,Department of Linguistics
Anant Sahai,information theory~communications theory~wireless communication~cognitive radio~distributed control~spectrum sensing~spectrum sharing~spectrum policy~power consumption in communications systems,Division of Electrical Engineering/EECS
Ananya Roy,social theory~city and regional planning~comparative urban studies~international development,Department of City &amp; Regional Planning
Anastasios Melis,photosynthesis~Metabolic Engineering~bioenergy,Department of Plant and Microbial Biology
Andrea A. diSessa,education~cognition~conceptual development~science education~design of technology for education~computational literacies,Graduate School of Education
Andrea L. Peterson,property law~land-use planning and control~takings clause,Boalt Hall School of Law
Andreas Glaeser,ceramic joining~TLP bonding~brazing~reduced-temperature joining~ceramic-metal joining~ceramic processing~surface and interface properties of ceramics~thermal barrier coatings,Department of Materials Science and Engineering
Andreas Kuehlmann,computer-aided design for VLSI,Division of Electrical Engineering/EECS
Andreas Martin,proteasome,Department of Molecular &amp; Cell Biology
Andreas Stahl,metabolism~obesity~adipose tissue~brown fat~thermogenesis~tissue engineering~diabetes~fatty acid transport~fatty acid~stem cells,Department of Nutritional Sciences &amp; Toxicology
Andres Rodriguez-Clare,international trade~economic growth~multinational production~technology diffusion,Department of Economics
Andrew Barshay,social thought~modernism~social sciences in modern Japan~marxism~Japanese history~Japanese-Russian relations,Department of History
Andrew F. Jones,east asian languages and cultures~Chinese popular music~sonic culture~media technology~modern Chinese fiction~children&#039;s literature~literary translation,Department of East Asian Languages and Cultures
Andrew F. Stewart,archaeology~classics~Greek sculpture~ancient art and architecture~the Hellenistic east after Alexander~the Renaissance reception of antiquity,Department of Classics~Department of History of Art
Andrew Garrett,linguistics~English~California~language change~Indo-European languages~historical linguistics~northern California Indian languages~linguistic structure~typology~ancient Greek~Latin~Irish~Oceanic languages,Department of Linguistics
Andrew Isaacs,technology company strategy~high tech entrepreneurial enterprises~international marketing~U.S.-Asia business strategies,Haas School of Business
Andrew Lim,algorithms~finance~financial engineering~optimization~simulations~stochastics~engineering,Department of Industrial Engineering &amp; Operations Research
Andrew Minor,metallurgy~nanomechanics~in situ TEM~electron microscopy of soft materials,Department of Materials Science and Engineering
Andrew P. Gutierrez,environmental policy~environmental science~pest management~agricultural ecosystems~transgenic crops,"Environmental Science, Policy &amp; Management"
Andrew Packard,design~robustness issues in control analysis~linear algebra~numerical algorithms in control problems~applications of system theory to aerospace problems~flight control~control of fluid,Department of Mechanical Engineering
Andrew R. Neureuther,integrated circuits~solid-state devices,Division of Electrical Engineering/EECS
Andrew Rose,banking~international trade patterns~contagion in currency crises~exchange rate~exchange crises in developing countries~exchange rate regimes,Haas School of Business
Andrew Scharlach,aging~social welfare~family issues~aging-friendly communities~long-term care policies,School of Social Welfare
Andrew Shanken,memory~visionary architecture~the unbuilt~paper architecture~heritage conservation~architectural representation~urban representation~diagrams~history of professions~historiography~world&#039;s fairs~expositions~California architecture~themed environments,Department of Architecture
Andrew Shogan,network analysis~network design~reliability of complex systems~project management,Haas School of Business
Andrew Szeri,biomedical engineering~fluid dynamics~dynamical systems,Department of Mechanical Engineering
Andrew T. Guzman,international trade~contracts~international law~international business~international relations,Boalt Hall School of Law
Angela Marino,Theatre and performance studies~Latin American and U.S. Chicana/Latino performance~festivals and carnival~political cultures,"Theatre, Dance, and Performance Studies"
Angelica Stacy,chemistry~solid states~physical and inorganic chemistry~emerging technologies~synthesis and characterization of new solid state materials with novel electronic properties~magnetic properties~development of new synthetic methodologies,Department of Chemistry
Anil K. Chopra,earthquake engineering~structural dynamics,Department of Civil and Environmental Engineering
Ann Banfield,Virginia Woolf~English~the novel~literary and linguistic theory~the industrial novel~recent French literary theory~literature and philosophy,Department of English
Ann Kring,schizophrenia~emotion~gender~mental illness~psychology~psychopathology~emotion in social interaction~emotion and cognition~facial expression,Department of Psychology
Ann Smock,poetry~French~France during World War II~the Algerian War~20th-century writing by women~relations between literature and music~Jacques Roubaud~Danielle Collobert,Department of French
Ann Swidler,religion~culture~Africa~AIDS~political sociology~theory~development~NGOs,Department of Sociology
AnnaLee Saxenian,innovation~information management~entrepreneurship~Silicon Valley~regional economic development~high skilled immigration~Asian development,School of Information
Anne Baranger,chemical education~chemical biology~organic chemistry,Department of Chemistry
Anne E. Cunningham,education~literacy development~disciplinary knowledge of reading~student achievement~cognitive development and instruction across the life span~cognitive consequences of literacy~adults~adolescents,Graduate School of Education
Anne Joseph O&#039;Connell,administrative law~political appointees~bureaucratic organization (and reorganization)~agency decisions in emergencies (national security and natural disasters)~political changes in agency rulemaking~mechanisms of agency oversight~and science and the law,Boalt Hall School of Law
Anne Nesbet,culture~film studies~Slavic languages~early Soviet culture~Sergei Eisenstein~silent film~Soviet film~GDR history~children&#039;s literature &amp; Stalinism~the Soviet Union~American minority movements,Department of Film and Media~Department of Italian Studies
Anne-lise Francois,popular culture~English~comparative literature~the modern period~comparative romanticisms; lyric poetry; the psychological novel~novel of manners; gender~critical theory; literature~philosophy; fashion,Department of English~Department of French
Anthony A. Long,classics~Greek literature~ancient philosophy,Department of Classics
Anthony Adams,vision in diabetes~retinal function,School of Optometry
Anthony C. Fisher,environmental and natural resource economics~economics of climate change,Department of Agricultural &amp; Resource Economics
Anthony D. Barnosky,conservation biology~ecology~climate change~paleontology~paleobiology~paleoecology~evolution~macroecology~global change~mammals~extinction~biogeography,Department of Integrative Biology
Anthony D. Joseph,internet security~mobile/distributed computing~and wireless communications~networking and telephony,Division of Computer Science/EECS
Anthony J. Cascardi,English~comparative literature~literature~Spanish~Portuguese~philosophy~aesthetics~early modern literature~French~Spanish Baroque,Department of Comparative Literature~Department of Spanish and Portuguese
Anton Kaes,film studies~modern literature~literary and cultural theory~cinema~interdisciplinary and comparative aspects of Weimar culture~contemporary literature and film~literary theory~theory of cultural studies~film history~film theory~history of cinema,Department of Film and Media~Department of German
Antonio Montalban,mathematical logic,Department of Mathematics
Anu Gomez,reproductive health~violence against women~health disparities,School of Social Welfare
Aram Thomasian,statistics~electrical engineering~computer science random potential surfaces~multiple electorde,Department of Statistics~Division of Electrical Engineering/EECS
Arash Komeili,microbiology~Biomineralization~bacterial organelles~Magnetic Nanoparticles,Department of Plant and Microbial Biology
Armando Fox,online education~MOOC~blended learning~parallel programming~software engineering~Web development,College of Engineering
Armen Der Kiureghian,risk analysis~earthquake engineering~structural reliability~random vibrations,Department of Civil and Environmental Engineering
Arpad Horvath,life cycle assessment~LCA~sustainability~green design~transportation~water~construction~biofuels~energy~environmental management~infrastructure systems,Department of Civil and Environmental Engineering
Arthur Askins,Spanish~Portuguese,Department of Spanish and Portuguese
Arthur E. Ogus,mathematics~algebraic geometry~algebraic differential equations~log poles,Department of Mathematics
Arthur Reingold,public health~epidemiology~infectious diseases~biostatistics,School of Public Health
Arthur Rosenfeld,physics~electronic ballasts for fluorescent lamps~compact fluorescent lamps~low-emissivity~selective windows~DoE-2 computer program for the energy design of buildings~building technologies~energy analysis~indoor environment~building ventilation,Department of Physics
Arthur Shimamura,cognitive neuroscience~behavior~cognition~brain~psychology~frontal lobe function~basic memory research,Department of Psychology
Asad Q. Ahmed,Islam (social and intellectual history),Department of Near Eastern Studies
Ashok Gadgil,fuel-efficient stoves~indoor air quality~energy efficiency~developing countries~drinking water~buildings energy efficiency,Department of Civil and Environmental Engineering
Ashvin Vishwanath,theoretical physics~physics~condensed matter theory~quantum condensed matter~systems of many quantum particles~dilute atomic gases~optical lattices~strongly correlated materials~fractionalization~unconventional quantum phase transition,Department of Physics
Astar Winoto,cancer~genomics~apoptosis~innate immunity and infectious diseases~cell cycle~signal transduction~immune tolerance,Department of Molecular &amp; Cell Biology
Austin John Roorda,adaptive optics~eye~vision~ophthalmoscopy~scanning laser ophthalmoscope~ophthalmology,School of Optometry
Avideh Zakhor,signal~image~and video processing~computer vision~augmented and virtual reality~visualization~rendering~indoor mapping &amp; positioning~3D modeling~multimedia databases,Division of Electrical Engineering/EECS
Babette B. Barton,law~taxes and taxation~real property~probate~trust,Boalt Hall School of Law
Barbara Abrams,obesity~maternal and child health~epidemiology~nutrition~health disparities~pregnancy,School of Public Health
Barbara Allen-Diaz,plant ecology~wetlands~rangeland ecology~rangeland management~grazing~biodiversity~oak woodlands~grasslands~water resources,"Environmental Science, Policy &amp; Management"
Barbara Baker,biochemistry~genetics~signal transduction~plant and microbial biology~biolomolecular mechanisms of plant resistance to microbial disease~plant pathogen recognition~plant resistance to pathogen diseases~tobacco mosaic virus~agriculture and crops,Department of Plant and Microbial Biology
Barbara Laraia,nutrition~obesity~Food Insecurity~Perinatal Health~diabetes,School of Public Health
Barbara Meyer,developmental biology~gene expression~genetic determination of sex~regulatory genes~chromosome dynamics~X-chromosome,Department of Molecular &amp; Cell Biology
Barbara Romanowicz,earth &amp; planetary science~deep earth structure &amp; dynamics~earthquake processes &amp; scaling laws~real time estimation of earthquake parameters~development of modern broadband seismic and geophysical observatories~planetary seismology,Department of Earth and Planetary Science
Barbara Shapiro,rhetoric~political and legal thought 1500-1700~intellectual and cultural history~1500-1700~early modern legal and political discourse~science and society~Tudor and Stuart England,Department of Rhetoric
Barbara Spackman,feminist theory~psychoanalysis~culture~fascism~gender studies~comparative literature~Italian studies~narrative~European decadence~travel writing,Department of Comparative Literature~Department of Italian Studies
Barbara Y. White,science education~cognitive development~computer-mediated learning,Graduate School of Education
Barrie Thorne,feminist theory~gender theory~ethnography~qualitative methods~sociology~women~sociology of gender~sociology of age relations,Department of Gender and Women&#039;s Studies~Department of Sociology
Barry Eichengreen,Europe~China~economic growth~international economics~international finance~international monetary economics~economic history,Department of Economics~Department of Political Science
Barry Shane,plant biology~health and nutrition~nutritional sciences and toxicology,Department of Nutritional Sciences &amp; Toxicology
Barry Staw,escalation of commitment to organizational decisions~emotional expression in the workplace~dispositional approaches to job attitudes~creativity and organizational innovation~work motivation,Haas School of Business
Barry Stroud,language~metaphysics~philosophy~epistemology~modern philosophy,Department of Philosophy
Beate Fricke,Medieval art and architecture~idolatry~iconoclasm~history of allegory~formation of communities~incest~anthropophagy~animation~emergence of life and procreation~theories and practices in use of images and relics~visual and material culture~Carolingian Art~Gothic Art~Ottonian Art,Department of History of Art
Beate H. Heinemann,particle physics,Department of Physics
Beatriz Manz,Latin America~human rights~peasantry~migrations~social movements~political conflict~Mayan communities in Guatemala~issues of memory~grief,Department of Ethnic Studies
Benito O. De Lumen,cancer prevention~academic enterpreneurship,Department of Nutritional Sciences &amp; Toxicology
Benjamin Brinner,Indonesia~Java~Bali~Israel~musical memory~situated musical cognition~musical interaction~improvisation~gamelan~music and oral narrative,Department of Music
Benjamin Handel,health economics~industrial organization,Department of Economics
Benjamin Hermalin,contract theory~corporate governance~executive compensation~economics of leadership and organization~competitive strategy~industrial organization,Department of Economics~Haas School of Business
Benjamin Porter,archaeology~Near Eastern archaeology~Middle East~Arid Environments~anthropology~Heritage~tourism~and Museum Studies,Department of Near Eastern Studies
Benson H. Tongue,nonlinear dynamics~acoustics~vibrations~modal analysis~numerical modeling,Department of Mechanical Engineering
Bernard R. Gifford,educational equity~education~assessment and educational measurement~computer-mediated learning~curriculum development~development of professional learning communities~experimental design in education,Graduate School of Education
Bernard Sadoulet,astrophysics~cosmology~physics~condensed matter~particle physics~developing sophisticated detectors~UA1 central detector~ubiquitous dark matter in the universe~searching for dark matter~development of advanced phonon-mediated detectors,Department of Physics
Bernd Sturmfels,mathematics~combinatorics~computational algebraic geometry,Department of Mathematics~Department of Statistics~Division of Computer Science/EECS
Bernhard E. Boser,analog integrated circuits~analog/digital converters~gyroscopes~strain sensors~biosensors~inertial sensors~accelerometers~ultrasound sensors~capacitive readout circuits,Division of Electrical Engineering/EECS
Bertrand Augst,literary criticism~semiology,Department of Comparative Literature
Beshara Doumani,history of the modern Middle East,Department of History
Beth Burnside,cell biology of photoreceptors~cytoskeletal motors~morphogenetic events~photomembrane turnover,Department of Molecular &amp; Cell Biology
Beth Piatote,Native American studies,Department of Ethnic Studies
Bharati Mukherjee,multiculturalism~English~comparative literature~fiction writing~post-colonial Anglophone fiction~Asian American fiction~autobiographical narratives~memoirs~immigration history~re-formation and nationhood in the 90&#039;s,Department of English
Bill Sha,B cell gene regulation~fate determination~gene regulatory pathways~antibody-secreting plasma cells~memory B cells~apoptotic cells~B7 costimulatory ligands,Department of Molecular &amp; Cell Biology
Bin Yu,neuroscience~remote sensing~networks~statistical machine learning~high-dimensional inference~massive data problems~document summarization.,Department of Statistics
Bjoern Hartmann,human-computer interaction~user interfaces~end-user programming~design tools~prototyping~crowdsourcing~multitouch~sensing,Division of Computer Science/EECS
Bob B. Buchanan,biotechnology~environmental policy~plant biology~thioredoxin,Department of Plant and Microbial Biology
Bonnie Wade,ethnomusicology~Asian music~India~Japan~Hindustani classical vocal music~contemporary music in Japan~ethnographic research~visual sources for documentation,Department of Music
Boris Rubinsky,medical imaging~biotechnology~biomedical engineering~low temperature biology~micro and nano bionic technologies~electrical impedance tomography~bio-electronics~biomedical devices biomedical numerical analysis~bio-heat and mass transfer~electroporation light imaging,Department of Bioengineering~Department of Mechanical Engineering
Borivoje Nikolic,digital integrated circuits~VLSI implementation of communications~signal processing systems,Division of Electrical Engineering/EECS
Botond Koszegi,behavioral economics~economic theory~psychology and economics~self-control problems~behavioral industrial organization~reference-dependent utility~anticipatory utility,Department of Economics
Bozidar Stojadinovic,composite structures~earthquake engineering~design of steel~performance-based design~hybrid simulation,Department of Civil and Environmental Engineering
Brandi Wilkins Catanese,critical race theory~African American theater~non-traditional casting~racial performativity~gender studies~sexuality studies~American popular culture,"Department of African American Studies~Theatre, Dance, and Performance Studies"
Brenda Eskenazi,public health~epidemiology~biostatistics~maternal &amp; child health,School of Public Health
Brent D. Mishler,evolutionary biology~development~ecology~systematics~phylogeny~comparative genomics~green plants~bryophytes~mosses~reproductive biology~phylogenetics~chloroplast DNA~classification~species concepts~biodiversity~Darwin,Department of Integrative Biology
Brett Green,information economics~dynamic games~Dynamic Contracts and Market Design~Sports Economics,Haas School of Business
Brian A. Barsky,computer science~geometric design and modeling~computer graphics~computer aided cornea modeling and visualization~medical imaging~virtual environments for surgical simulation,Division of Computer Science/EECS~School of Optometry
Brian Carver,copyright law~public access to legal information~technology law,School of Information
Brian DeLay,US~the Americas~International History~nineteenth century~Native American history~American West~Borderlands,Department of History
Brian Harvey,computers in K-12 education,Division of Computer Science/EECS
Brian J. Staskawicz,biotechnology~plant and microbial biology,Department of Comparative Literature
Brian L. Fisher,Species Diversity~ecology and evolution~biodiversity~systematics~taxonomy,"Department of Environmental Science, Policy &amp; Management"
Brian Wright,innovation~economics~catastrophe insurance~intellectual property~agricultural policy~patents~commodity markets~storage~speculation,Department of Agricultural &amp; Resource Economics
Britt Glaunsinger,virology~gene expression~herpesvirus,Department of Molecular &amp; Cell Biology~Department of Plant and Microbial Biology
Bronwyn Hall,applied econometrics~economics of technical change~economics of innovation~patent policy~R&amp;D value~taxation~financing R&amp;D,Department of Economics
Bruce Fuller,policy analysis and evaluation~reform issues~charter schools~child care~early childhood development~economy and education,Graduate School of Education
Bruce G. Baldwin,biology~systematics and evolution of vascular plants~floristics~conservation biology~evolutionary processes~historical biogeography~evolutionary ecology,Department of Integrative Biology
Bruce M. Vermazen,American popular music 1900-1920~especially the,Department of Philosophy
Bruce N. Ames,molecular biology~cancer~aging~mitochondrial decay~oxidants and antioxidants~micronutrient deficiencies and DNA damage~chronic inflammation and cancer,Department of Molecular &amp; Cell Biology
Bruno Olshausen,visual perception~computational neuroscience~computational vision,Helen Wills Neuroscience Institute~School of Optometry
Bryan Graham,econometrics~Social and Economic Networks~Peer Effects,College of Letters and Science
Bryan Krantz,protein folding~spectroscopy~electrophysiology~biophysical studies of transmembrane protein translocation~microbial toxins,Department of Chemistry~Department of Molecular &amp; Cell Biology
Bryan Wagner,critical theory~African American literature~historiography,Department of English
Buford Price,evolution~metabolism~neutrino astrophysics~microbes~climate research~volcanism~glacial ice,Department of Physics
Burkhard Militzer,Saturn~structure and evolution of Jupiter~and extrasolar giant planets,Department of Earth and Planetary Science
C. Bradley Moore,environment~lasers~energy transfer~energy~chemical reaction dynamics~atmospheric and combustion chemistry~molecular spectroscopy~university research administration and the creation and management of multidisciplinary research programs,Department of Chemistry
C. D. Blanton,modernism~modern poetry~19th- and 20th-century British literature~aesthetic and critical theory,Department of English
C. Greig Crysler,architecture~geopolitics of architectural discourse~globalization and social production of the built environment~architecture and identity,Department of Architecture
C. Judson King,chemical engineering~higher education~university governance~separation processes~spray drying~freeze drying~solvent extraction~absorption,Department of Chemical Engineering
C. Keith Miller,mathematics~partial differential equations~numerical methods for PDE&#039;s,Department of Mathematics
C. Namwali Serpell,theory~aesthetics~affect~ethics~uncertainty~the novel~film~20th and 21st century Anglophone fiction~the face,Department of English
C. William Ibbs,strategic trends~strategic planning~construction industry~project control~management systems~construction disputes~management of engineering and contruction projects~labor productivity~construction accounting and project finance.,Department of Civil and Environmental Engineering
Caitlin Rosenthal,American history~capitalism~economic history~slavery,Department of History
Calvin C. Moore,operator algebras~ergodic theory~representations and actions of topological groups~foliations and foliated spaces~K- theory,Department of Mathematics
Calvin Morrill,sociology of law/social conflict~organizations~ethnography~social networks~social movements youth culture and conflict~urban schools~rights mobilization,Boalt Hall School of Law~Department of Sociology
Cameron Anderson,emotion~power and politics~negotiation and conflict resolution~groups and teams,Haas School of Business
Candace Slater,Spanish~Portuguese,Department of Spanish and Portuguese
Candace Yano,inventory control~production planning~distribution systems planning~integrated production-quality models~integrated manufacturing-marketing models,Department of Industrial Engineering &amp; Operations Research~Haas School of Business
Cari Kaufman,climate~functional data analysis~Bayesian statistics~spatial statistics,Department of Statistics
Carl Boettiger,theoretical ecology~stochastic processes~optimal control~decision theory~ecoinformatics~data science~tipping points,"Environmental Science, Policy &amp; Management"
Carl Heiles,astronomy~interstellar medium~itsmorphology~supernovas~interstellar magnetic fields~Eridanus superbubble~interstellar gases,Department of Astronomy
Carl L. Monismith,pavement design~pavement rehabilitation~asphalt paving technology~transportation facilities design,Department of Civil and Environmental Engineering
Carl Shapiro,business~economics~game theory~licensing~anti-trust economics~intellectual property~economics of networks and interconnection,Department of Economics~Haas School of Business
Carla Hesse,France~modern Europe~history of women,Department of History
